                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5296,                 1.1927,                 1.7299,                0.32654,                0.30642,                0.31226,                0.17326,                 1.6913,                 3.4033,                 1.6831,              0.0011956,              0.0011956,              0.0011956
                     35,                 1.5523,                 1.2167,                 1.7281,                0.18925,                0.29915,                0.23609,                0.13133,                 1.7303,                  3.698,                 1.7419,              0.0011885,              0.0011885,              0.0011885
                     36,                 1.5493,                 1.1568,                 1.7002,                0.30801,                0.20303,                0.26018,                0.15771,                 1.6728,                 3.8611,                 1.7081,              0.0011814,              0.0011814,              0.0011814
                     37,                  1.541,                  1.209,                 1.7249,                0.20075,                0.17521,                0.19137,                0.11917,                 1.6236,                 3.9696,                 1.6696,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.5343,                 1.1534,                 1.7054,                0.34396,                0.22971,                0.24592,                0.16082,                 1.6467,                 4.0061,                 1.6482,              0.0011673,              0.0011673,              0.0011673
                     39,                 1.5086,                 1.0725,                 1.6615,                0.28934,                0.31731,                0.28904,                0.16337,                 1.6104,                  3.638,                 1.6222,              0.0011602,              0.0011602,              0.0011602
                     40,                 1.5073,                 1.0774,                 1.6582,                0.24564,                0.30032,                0.25513,                 0.1453,                 1.6345,                 3.9002,                  1.672,              0.0011531,              0.0011531,              0.0011531
                     41,                 1.5252,                 1.1199,                  1.704,                0.28784,                0.24367,                  0.281,                 0.1795,                 1.6389,                 3.7157,                 1.6653,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.4892,                 1.0932,                 1.6657,                0.24999,                0.29701,                0.27797,                0.15993,                 1.6238,                 4.0848,                 1.6133,               0.001139,               0.001139,               0.001139
                     43,                  1.494,                 1.0389,                 1.6197,                0.24392,                0.23504,                0.18921,                0.12982,                 1.5887,                   4.17,                 1.5956,              0.0011319,              0.0011319,              0.0011319
                     44,                  1.539,                 1.0768,                 1.6539,                0.18518,                 0.2906,                0.19737,                0.12991,                 1.5691,                 4.1012,                 1.6022,              0.0011248,              0.0011248,              0.0011248
                     45,                 1.4313,                0.99921,                 1.5806,                0.32802,                 0.1891,                0.24395,                0.14326,                 1.5892,                 4.0465,                 1.6325,              0.0011178,              0.0011178,              0.0011178
                     46,                 1.4653,                 1.0214,                 1.6228,                0.28671,                0.25855,                0.28581,                0.18249,                 1.7172,                 3.9131,                 1.6703,              0.0011107,              0.0011107,              0.0011107
                     47,                 1.4509,                  1.008,                 1.5873,                0.25758,                0.33928,                0.25804,                 0.1663,                 1.6068,                 3.8323,                 1.6023,              0.0011036,              0.0011036,              0.0011036
                     48,                 1.4713,                 1.0272,                 1.6043,                0.38126,                0.17201,                0.21896,                0.14019,                 1.5254,                 4.0853,                 1.5636,              0.0010965,              0.0010965,              0.0010965
                     49,                 1.4573,                0.99698,                 1.6029,                  0.231,                0.22115,                0.21901,                0.14301,                 1.5825,                 3.9167,                 1.5746,              0.0010895,              0.0010895,              0.0010895
                     50,                 1.4186,                 1.0024,                 1.5977,                0.29694,                0.22756,                0.25236,                0.17063,                  1.546,                 3.8696,                 1.5656,              0.0010824,              0.0010824,              0.0010824
                     51,                 1.4299,                 1.0024,                 1.6067,                0.31425,                0.26603,                0.27584,                0.17137,                 1.5499,                 3.8516,                 1.5362,              0.0010753,              0.0010753,              0.0010753
                     52,                 1.3999,                 1.0081,                  1.579,                0.40024,                0.28196,                0.31522,                0.21556,                 1.5801,                 3.7887,                  1.602,              0.0010682,              0.0010682,              0.0010682
                     53,                 1.3873,                0.92549,                 1.5554,                0.28371,                0.25641,                0.27592,                0.18676,                 1.6042,                 3.9576,                 1.5732,              0.0010612,              0.0010612,              0.0010612
                     54,                 1.4025,                0.92269,                 1.5262,                0.29433,                0.34615,                0.32467,                0.20046,                  1.606,                 3.7971,                 1.5976,              0.0010541,              0.0010541,              0.0010541
                     55,                 1.3772,                0.96514,                 1.5745,                0.31436,                0.35256,                0.34095,                0.20313,                 1.6213,                   3.82,                 1.5806,               0.001047,               0.001047,               0.001047
                     56,                 1.3949,                0.95802,                 1.5787,                0.36928,                0.27991,                0.30492,                0.19134,                 1.5853,                 3.7803,                 1.5698,                0.00104,                0.00104,                0.00104
                     57,                 1.4094,                0.92484,                 1.5507,                0.36774,                0.27991,                0.28043,                0.18879,                 1.5461,                 3.8365,                 1.5426,              0.0010329,              0.0010329,              0.0010329
                     58,                 1.3709,                0.93668,                 1.5552,                0.37127,                0.27885,                0.32942,                0.20779,                 1.5743,                  3.797,                   1.57,              0.0010258,              0.0010258,              0.0010258
                     59,                  1.334,                 0.9082,                 1.4774,                0.37047,                0.30354,                0.33369,                0.20769,                 1.5207,                  3.808,                 1.5541,              0.0010187,              0.0010187,              0.0010187
                     60,                 1.3743,                 0.9391,                 1.5263,                0.33964,                0.31626,                0.31709,                0.18329,                 1.6911,                 3.8954,                 1.6109,              0.0010117,              0.0010117,              0.0010117
                     61,                 1.3511,                0.90818,                 1.5319,                 0.3243,                0.23773,                0.28112,                0.16543,                 1.5901,                 3.9662,                 1.5645,              0.0010046,              0.0010046,              0.0010046
                     62,                 1.3724,                0.92166,                 1.5559,                0.33053,                0.26282,                0.29244,                0.18037,                 1.5185,                 3.9456,                 1.5612,             0.00099751,             0.00099751,             0.00099751
                     63,                 1.3003,                0.88209,                  1.501,                0.33615,                0.36752,                0.35734,                0.22322,                 1.5634,                 3.7812,                 1.5123,             0.00099044,             0.00099044,             0.00099044
                     64,                 1.3169,                0.85449,                 1.4637,                0.29704,                0.34615,                0.29111,                0.16311,                 1.5107,                 3.8883,                 1.5149,             0.00098337,             0.00098337,             0.00098337
                     65,                 1.3567,                0.90797,                 1.5573,                0.32019,                0.34615,                0.31159,                0.19798,                 1.5738,                 3.8619,                 1.5574,             0.00097629,             0.00097629,             0.00097629
                     66,                 1.3084,                0.87595,                 1.4813,                0.32885,                0.31838,                0.29915,                 0.1896,                 1.7349,                 4.0544,                  1.633,             0.00096922,             0.00096922,             0.00096922
                     67,                 1.2903,                0.86298,                 1.5122,                0.33592,                0.26499,                0.27502,                0.17885,                 1.6044,                 4.0173,                 1.5542,             0.00096215,             0.00096215,             0.00096215
                     68,                 1.3012,                0.85106,                 1.4831,                0.37468,                0.31172,                0.32943,                0.20562,                 1.5086,                 3.9727,                 1.5306,             0.00095507,             0.00095507,             0.00095507
                     69,                 1.2782,                 0.8661,                 1.4759,                0.34327,                0.34615,                0.34063,                0.21861,                 1.5075,                 4.0124,                 1.5128,               0.000948,               0.000948,               0.000948
                     70,                 1.3147,                0.82458,                 1.4695,                0.36424,                0.28739,                0.31891,                0.21307,                 1.5499,                 4.1697,                 1.5202,             0.00094093,             0.00094093,             0.00094093
                     71,                 1.2594,                0.81841,                 1.4559,                0.37354,                0.31517,                0.32874,                0.21499,                 1.5559,                 3.9437,                  1.512,             0.00093385,             0.00093385,             0.00093385
