                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                 1.0374,                0.60473,                 1.2576,                 0.3453,                0.34295,                0.33662,                0.21683,                 1.4944,                 4.4781,                 1.4691,             0.00038211,             0.00038211,             0.00038211
                    150,                 1.0733,                0.62614,                 1.3119,                0.35678,                0.34615,                0.33759,                0.22303,                 1.5122,                 4.4347,                 1.4674,             0.00037504,             0.00037504,             0.00037504
                    151,                 1.0664,                0.63106,                 1.3013,                 0.3749,                0.34486,                0.33388,                0.20678,                 1.5182,                 4.5176,                 1.4674,             0.00036797,             0.00036797,             0.00036797
                    152,                 1.0346,                 0.6057,                 1.2616,                0.32151,                0.37136,                0.32781,                0.20161,                 1.5093,                 4.5278,                 1.4399,             0.00036089,             0.00036089,             0.00036089
                    153,                 1.0595,                0.63081,                 1.2747,                0.33901,                0.37714,                0.34814,                0.22102,                 1.4783,                  4.481,                 1.4321,             0.00035382,             0.00035382,             0.00035382
                    154,                 1.0442,                0.63025,                 1.2709,                0.38225,                0.37426,                0.35198,                0.22074,                 1.4878,                 4.3172,                 1.4371,             0.00034675,             0.00034675,             0.00034675
                    155,                 1.0171,                0.61435,                 1.2731,                0.34762,                 0.3742,                0.35259,                0.21718,                 1.5027,                 4.3245,                 1.4338,             0.00033967,             0.00033967,             0.00033967
                    156,                 1.1112,                0.63297,                 1.3139,                0.36767,                0.34615,                0.35299,                0.22722,                   1.51,                 4.4841,                 1.4452,              0.0003326,              0.0003326,              0.0003326
                    157,                 1.0603,                0.62627,                 1.2674,                 0.3736,                0.34295,                0.34071,                0.22123,                 1.5276,                 4.5647,                 1.4765,             0.00032553,             0.00032553,             0.00032553
                    158,                 1.0681,                0.64104,                 1.2699,                 0.3774,                0.33372,                 0.3206,                0.20578,                 1.5173,                 4.6076,                  1.501,             0.00031845,             0.00031845,             0.00031845
                    159,                 1.0417,                0.59519,                 1.2798,                0.38154,                0.33868,                0.33725,                0.21353,                 1.5549,                 4.6051,                 1.4994,             0.00031138,             0.00031138,             0.00031138
                    160,                 1.0361,                0.62743,                 1.2722,                0.39402,                0.33868,                0.33899,                 0.2133,                 1.4945,                 4.5941,                 1.4624,             0.00030431,             0.00030431,             0.00030431
                    161,                  1.052,                0.62238,                 1.2693,                0.39061,                0.33868,                0.35035,                0.22554,                 1.5109,                 4.5158,                 1.4622,             0.00029723,             0.00029723,             0.00029723
                    162,                 1.0235,                0.61113,                 1.2559,                 0.3912,                0.34615,                0.35074,                0.22858,                 1.5152,                 4.4699,                 1.4617,             0.00029016,             0.00029016,             0.00029016
                    163,                 1.0398,                0.62133,                 1.2902,                0.38965,                0.34295,                0.34006,                0.22676,                  1.552,                 4.5533,                 1.4786,             0.00028308,             0.00028308,             0.00028308
                    164,                 1.0589,                 0.6372,                 1.2728,                0.38381,                0.33868,                0.33964,                0.22672,                 1.5436,                 4.5403,                 1.4804,             0.00027601,             0.00027601,             0.00027601
                    165,                 0.9821,                0.61607,                 1.2753,                 0.3761,                0.34615,                0.34807,                0.22862,                 1.4927,                 4.5303,                 1.4486,             0.00026894,             0.00026894,             0.00026894
                    166,                 1.0412,                0.60267,                 1.2722,                0.37859,                0.34615,                0.34391,                0.22695,                 1.4975,                 4.5216,                 1.4346,             0.00026186,             0.00026186,             0.00026186
                    167,                  1.013,                0.60267,                 1.2569,                0.39285,                0.34547,                0.32936,                0.20283,                 1.4838,                 4.5651,                 1.4425,             0.00025479,             0.00025479,             0.00025479
                    168,                 1.0151,                0.59171,                   1.26,                0.38824,                0.34445,                0.33919,                  0.209,                 1.5028,                 4.5835,                 1.4682,             0.00024772,             0.00024772,             0.00024772
                    169,                  1.045,                0.60554,                 1.2607,                0.38657,                0.34362,                0.34093,                 0.2162,                 1.5214,                 4.5297,                 1.4801,             0.00024064,             0.00024064,             0.00024064
                    170,                 1.0019,                0.59051,                 1.2561,                  0.386,                0.34615,                 0.3395,                0.21753,                  1.583,                 4.5072,                 1.5078,             0.00023357,             0.00023357,             0.00023357
                    171,                 1.0711,                0.68742,                 1.2967,                0.38462,                0.34615,                0.34571,                0.21258,                 1.5279,                 4.4404,                 1.4581,              0.0002265,              0.0002265,              0.0002265
                    172,                0.99918,                0.60226,                  1.259,                0.39124,                0.34615,                0.35517,                0.22183,                 1.5127,                 4.3906,                  1.452,             0.00021942,             0.00021942,             0.00021942
                    173,                 1.0087,                0.62171,                 1.2326,                0.39233,                0.34615,                0.35742,                0.22579,                 1.5751,                 4.4819,                 1.4846,             0.00021235,             0.00021235,             0.00021235
                    174,                0.98098,                0.58809,                 1.2451,                0.37531,                0.37323,                0.36213,                0.23701,                 1.5382,                 4.4438,                 1.4599,             0.00020528,             0.00020528,             0.00020528
                    175,                 0.9643,                0.56213,                 1.2214,                 0.3948,                0.34295,                0.35352,                0.23838,                 1.5656,                 4.4278,                 1.4725,              0.0001982,              0.0001982,              0.0001982
                    176,                 1.0074,                0.57986,                 1.2422,                0.39109,                0.34615,                0.35207,                0.23205,                 1.5286,                  4.413,                 1.4586,             0.00019113,             0.00019113,             0.00019113
                    177,                 1.0596,                0.63635,                 1.2874,                0.39452,                0.34295,                0.35634,                0.22543,                 1.5327,                  4.393,                 1.4568,             0.00018406,             0.00018406,             0.00018406
                    178,                 1.0012,                0.57778,                 1.2287,                0.38726,                0.33868,                0.35071,                0.22484,                 1.5234,                 4.4645,                 1.4703,             0.00017698,             0.00017698,             0.00017698
                    179,                0.99713,                0.58857,                 1.2483,                0.38876,                0.34295,                0.35474,                0.22344,                 1.5436,                 4.4759,                 1.4893,             0.00016991,             0.00016991,             0.00016991
                    180,                0.97874,                0.57301,                 1.2305,                0.39741,                0.34615,                0.35717,                0.23067,                 1.5494,                  4.491,                 1.4937,             0.00016283,             0.00016283,             0.00016283
                    181,                0.99601,                0.59646,                 1.2545,                0.39682,                0.34248,                0.35345,                0.22673,                 1.5277,                 4.4891,                 1.4883,             0.00015576,             0.00015576,             0.00015576
                    182,                 1.0225,                0.61182,                 1.2623,                0.39022,                0.34615,                 0.3413,                0.21671,                 1.5238,                 4.5362,                 1.4875,             0.00014869,             0.00014869,             0.00014869
                    183,                0.99729,                0.58462,                 1.2296,                0.38682,                0.34615,                0.33819,                0.21861,                 1.5276,                 4.5435,                 1.4801,             0.00014161,             0.00014161,             0.00014161
                    184,                 1.0004,                0.58543,                 1.2262,                0.39426,                0.34615,                0.34428,                0.22595,                  1.495,                 4.5099,                 1.4557,             0.00013454,             0.00013454,             0.00013454
                    185,                0.98869,                0.58539,                 1.2464,                0.39854,                0.34615,                0.34358,                0.22299,                 1.5091,                 4.5449,                 1.4606,             0.00012747,             0.00012747,             0.00012747
                    186,                 1.0187,                0.60215,                 1.2703,                0.39736,                0.34615,                 0.3422,                0.22483,                 1.5191,                 4.5653,                 1.4712,             0.00012039,             0.00012039,             0.00012039
                    187,                0.97971,                0.59394,                 1.2718,                0.39379,                0.34615,                0.34002,                0.22731,                 1.5377,                 4.5139,                 1.4813,             0.00011332,             0.00011332,             0.00011332
                    188,                0.97423,                0.59814,                 1.2484,                0.39442,                0.34615,                0.34092,                0.22389,                 1.5151,                 4.4947,                 1.4619,             0.00010625,             0.00010625,             0.00010625
                    189,                0.98584,                0.57055,                 1.2574,                0.40723,                0.34615,                0.34269,                0.21921,                 1.5156,                 4.4975,                 1.4573,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    190,                0.96925,                0.57067,                 1.2176,                0.41128,                0.34615,                0.34087,                0.22244,                 1.5414,                 4.5285,                  1.465,             9.2099e-05,             9.2099e-05,             9.2099e-05
                    191,                0.93393,                0.57637,                 1.1867,                0.40653,                0.34615,                0.33724,                0.21898,                 1.5712,                   4.57,                  1.495,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    192,                0.96597,                0.56451,                 1.2583,                0.40178,                0.34615,                0.34141,                0.22306,                 1.5609,                 4.5046,                 1.4896,             7.7952e-05,             7.7952e-05,             7.7952e-05
                    193,                0.92379,                0.53345,                 1.1708,                0.39218,                0.34188,                 0.3436,                 0.2148,                 1.5393,                 4.4786,                 1.4712,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    194,                0.93699,                 0.5545,                 1.2172,                0.39619,                0.34615,                0.34355,                0.21623,                 1.5447,                  4.499,                 1.4807,             6.3805e-05,             6.3805e-05,             6.3805e-05
                    195,                0.96563,                0.53173,                 1.1642,                0.39561,                0.34615,                0.33821,                0.21951,                 1.5916,                 4.5859,                 1.5119,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    196,                 0.9068,                0.53676,                 1.1496,                0.40391,                0.34615,                0.33725,                0.21552,                 1.5754,                 4.6658,                  1.512,             4.9658e-05,             4.9658e-05,             4.9658e-05
                    197,                0.90441,                 0.5284,                 1.1728,                0.40721,                0.34615,                0.33932,                0.21692,                 1.5565,                 4.7226,                  1.503,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    198,                  0.889,                0.51386,                  1.152,                0.39678,                0.34615,                0.34026,                0.21906,                  1.562,                 4.7619,                 1.5086,             3.5511e-05,             3.5511e-05,             3.5511e-05
                    199,                0.89972,                0.51783,                 1.1815,                0.39755,                0.34615,                0.33894,                 0.2229,                 1.5621,                 4.7694,                 1.5087,             2.8437e-05,             2.8437e-05,             2.8437e-05
                    200,                0.88098,                0.52101,                 1.1652,                 0.3997,                0.34615,                0.34001,                0.22292,                 1.5569,                 4.7765,                 1.5054,             2.1364e-05,             2.1364e-05,             2.1364e-05
