"Pt-0","true","15186.315412108797","3612.191052649071","14610.207602792154","3453.8838440468576"
"Pt-1","true","15111.077211424277","3645.3316886648718","14543.936935143613","3489.1708229246515"
"Pt-2","true","15016.133767703333","3638.166145742536","14419.141522039221","3483.146216774784"
"Pt-3","true","14897.00661661951","3597.8599668044008","14297.788741020466","3441.8346317471232"
"Pt-4","true","14984.784517418117","3545.90978061747","14401.928361611028","3376.424622119993"
"Pt-5","true","14805.645944359736","3356.918586040877","14213.444254922324","3132.8584020610747"
"Pt-6","true","14770.713922613351","3257.4966779934753","14152.169013672288","3019.526569579243"
"Pt-7","true","14610.19115620462","3176.6868120526638","13987.258012027298","2925.412877153727"
"Pt-8","true","14549.284041364772","3126.528011596317","13920.253052202386","2871.5892209009294"
"Pt-9","true","14156.970566366916","2907.0832595997995","13418.265074497722","2584.895868207456"
"Pt-10","true","14023.230246674811","2852.1228769700665","13247.743724195348","2488.8764315800036"
"Pt-11","true","13893.24307348052","2795.253488697564","13062.577793063274","2404.1394800449866"
"Pt-12","true","12823.506055517055","3572.824817803921","12253.380396951501","3446.982319078783"
"Pt-13","true","12765.59877037799","3682.205245288822","12229.617655079359","3555.5202481704614"
"Pt-14","true","12657.826878591397","3707.94181646174","12126.859852389012","3603.0457319147467"
"Pt-15","true","12591.876914960794","3688.6393880820515","12045.29584650355","3572.2183911076427"
"Pt-16","true","12580.617165072643","3593.7357818819173","12020.248632097777","3490.6543852221803"
"Pt-17","true","12685.17198546262","3529.3943539496227","12114.657363319533","3405.8791980026444"
"Pt-18","true","10237.942462501152","3324.7816613737828","9724.483312576125","3153.899829642491"
"Pt-19","true","10242.644850043936","3400.9603395668596","9759.531343240302","3247.828551822481"
"Pt-20","true","10157.061396765293","3433.8770523663375","9602.516165864796","3292.6900310726255"
"Pt-21","true","10083.704151097887","3436.698484892007","9522.606655950476","3330.541904189935"
"Pt-22","true","10020.6921580246","3351.115031613365","9438.491382356455","3193.153623986367"
"Pt-23","true","10079.001763555103","3276.817308437401","9539.42971066928","3109.0383503923463"
"Pt-24","true","6976.233836775171","1170.2803995247045","6344.708826542584","806.5073763324745"
"Pt-25","true","7695.9965254617155","1132.0629116298437","7330.814780036533","679.2678984622876"
"Pt-26","true","5721.426317560575","1485.574674657306","5002.332335012111","1150.0539665819792"
"Pt-27","true","3256.743230270812","1482.5479334295096","2883.7872650091954","1193.4679080454512"
"Pt-28","true","3132.97343203892","1499.6196297373567","2793.4379651692166","1208.0403757615768"
"Pt-29","true","2518.1749968558515","2288.427448235756","1877.4382211628183","2114.4943342861025"
"Pt-30","true","2246.6372899687076","2377.977117528325","1565.5014972620795","2172.652028572681"
"Pt-31","true","1946.2125929871866","2276.872652198005","1176.9023581653964","2048.406045324082"
"Pt-32","true","2284.1903770913977","2123.7716046978067","1631.5897862241004","1950.5953776602905"
"Pt-33","true","2009.763971194816","1993.7801492731103","1272.0694942707066","1807.8446735023253"
"Pt-34","true","1079.3491343475296","3729.4849388714556","623.1301919715427","3247.0418210098387"
"Pt-35","true","1032.6599388368766","4626.955030354009","548.9218902253344","3852.4253352552214"
"Pt-36","true","1214.2290324894163","5363.606781744313","486.43068875484346","4321.109346283905"
"Pt-37","true","18183.506884699214","9906.05974526641","17839.591995097708","10650.454257399553"
"Pt-38","true","18315.257700955026","10108.391355944977","18008.910191418403","10864.183783902728"
"Pt-39","true","18277.61461059622","10386.00914734115","18014.461607691213","11155.633138225241"
"Pt-40","true","18103.515317686757","10588.340758019718","17881.22761714378","11366.586956592011"
"Pt-41","true","17976.469887725798","10658.921552442473","17753.545042869155","11477.615282048206"
"Pt-42","true","17774.13827704723","10513.054577302111","17470.422812955858","11336.054167091557"
"Pt-43","true","17863.54061664939","10108.391355944977","17534.26410009317","10997.417774450163"
"Pt-44","true","17665.977649521","10976.177648923913","17351.522115907283","11801.184801368934"
"Pt-45","true","17493.08901380615","11130.867480879302","17155.668149802554","12015.40007679598"
"Pt-46","true","16686.2753804702","11549.439967346825","16307.987702755527","12523.39630138012"
"Pt-47","true","17016.886982100346","11373.51819767207","16751.719344711553","12229.615352223029"
"Pt-48","true","17280.76963661248","11100.536141280207","16981.23571124053","11932.77418484555"
"Pt-49","true","17508.2546836057","10900.349299926173","17216.87251421028","11749.161091622365"
"Pt-50","true","15460.701296748857","11920.274833496014","15375.739655076457","12883.357809673094"
"Pt-51","true","9593.965169720654","11840.50952715447","9075.723438996696","12996.675619828646"
"Pt-52","true","8831.27965260582","11197.931965490789","8343.589181405907","12281.410815177736"
"Pt-53","true","7594.167711458922","10927.68906572569","7270.691974429543","12078.977379899177"
"Pt-54","true","7996.529362220292","10399.214061740608","7554.098783819526","11178.148592909589"
"Pt-55","true","6032.835885863233","11176.535904736851","5796.198758407332","12340.49813992227"
"Pt-56","true","4977.788363528807","10901.934494814192","5058.527571136012","12252.380421306243"
